"habitat"	"plot"	"subplot"	"family"	"species"	"individuals_terrestrial_0.5m"	"individuals_terrestrial_1.5m"	"individuals_epiphytic_0.5m"	"individuals_epiphytic_1.5m"
"natural_forest"	"N1"	0	"Aspleniaceae"	"Asplenium_sellowianum"	2	16	0	0
"natural_forest"	"N1"	0	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
"natural_forest"	"N1"	0	"Polypodiaceae"	"Campyloneurum_nitidum"	0	1	0	10
"natural_forest"	"N1"	0	"Polypodiaceae"	"Pecluma_sicca"	0	0	16	0
"natural_forest"	"N1"	0	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N1"	10	"Aspleniaceae"	"Asplenium_sellowianum"	2	4	0	0
"natural_forest"	"N1"	10	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	2
"natural_forest"	"N1"	10	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	1
"natural_forest"	"N1"	20	"Aspleniaceae"	"Asplenium_sellowianum"	2	8	0	0
"natural_forest"	"N1"	20	"Polypodiaceae"	"Campyloneurum_nitidum"	0	1	0	0
"natural_forest"	"N1"	20	"Dryopteridaceae"	"Polystichum_platylepis"	0	2	0	0
"natural_forest"	"N1"	20	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	1	0
"natural_forest"	"N1"	20	"Thelypteridaceae"	"Goniopteris_riograndensis"	0	0	0	1
"natural_forest"	"N1"	30	"Aspleniaceae"	"Asplenium_sellowianum"	6	12	0	0
"natural_forest"	"N1"	30	"Dryopteridaceae"	"Polystichum_platylepis"	0	1	0	0
"natural_forest"	"N1"	40	"Aspleniaceae"	"Asplenium_sellowianum"	0	12	0	0
"natural_forest"	"N1"	40	"Dryopteridaceae"	"Polystichum_platylepis"	0	2	0	0
"natural_forest"	"N1"	40	"Pteridaceae"	"Pteris_deflexa"	0	2	0	0
"natural_forest"	"N1"	40	"Thelypteridaceae"	"Goniopteris_riograndensis"	2	0	0	0
"natural_forest"	"N1"	40	"Thelypteridaceae"	"Amauropelta_decurtata"	2	7	0	0
"natural_forest"	"N1"	40	"Dryopteridaceae"	"Polystichum_platylepis"	2	0	0	0
"natural_forest"	"N1"	40	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	0	3
"natural_forest"	"N1"	50	"Thelypteridaceae"	"Amauropelta_decurtata"	4	8	0	0
"natural_forest"	"N1"	50	"Dryopteridaceae"	"Polystichum_platylepis"	1	5	0	0
"natural_forest"	"N1"	50	"Aspleniaceae"	"Asplenium_sellowianum"	7	7	0	0
"natural_forest"	"N1"	50	"Pteridaceae"	"Doryopteris_pentagona"	1	0	0	0
"natural_forest"	"N1"	50	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N1"	50	"Blechnaceae"	"Blechnum_austrobrasilianum"	0	1	0	0
"natural_forest"	"N1"	50	"Polypodiaceae"	"Pleopeltis_pleopeltidis"	0	0	0	2
"natural_forest"	"N1"	60	"Blechnaceae"	"Blechnum_austrobrasilianum"	6	15	0	0
"natural_forest"	"N1"	60	"Aspleniaceae"	"Asplenium_sellowianum"	1	0	0	0
"natural_forest"	"N1"	60	"Thelypteridaceae"	"Goniopteris_riograndensis"	2	0	0	0
"natural_forest"	"N1"	60	"Thelypteridaceae"	"Goniopteris_riograndensis"	0	1	0	0
"natural_forest"	"N1"	60	"Polypodiaceae"	"Pleopeltis_pleopeltifolia"	0	0	4	0
"natural_forest"	"N1"	60	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	4
"natural_forest"	"N1"	60	"Polypodiaceae"	"Pleopeltis_hirsutissima"	0	0	0	3
"natural_forest"	"N1"	60	"Polypodiaceae"	"Pecluma_sicca"	0	0	3	0
"natural_forest"	"N1"	60	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	2	1
"natural_forest"	"N1"	70	"Aspleniaceae"	"Asplenium_sellowianum"	7	18	0	0
"natural_forest"	"N1"	70	"Polypodiaceae"	"Microgramma_squamulosa"	0	0	0	1
"natural_forest"	"N1"	70	"Dryopteridaceae"	"Polystichum_platylepis"	0	1	0	0
"natural_forest"	"N1"	70	"Polypodiaceae"	"Campyloneurum_nitidum"	0	0	0	5
"natural_forest"	"N1"	70	"Pteridaceae"	"Doryopteris_pentagona"	0	1	0	0
