family,genus,specificEpithet,species
Anemiaceae,Link,,
Anemiaceae,Anemia,Sw.,Anemia Sw.
Anemiaceae,Anemia,phyllitidis,Anemia phyllitidis
Anemiaceae,Anemia,raddiana,Anemia raddiana
Anemiaceae,Anemia,simplicior,Anemia simplicior
Anemiaceae,Anemia,tomentosa,Anemia tomentosa
Anemiaceae,Anemia,warmingii,Anemia warmingii
Aspleniaceae,Newman,,Newman 
Aspleniaceae,Asplenium,L.,Asplenium L.
Aspleniaceae,Asplenium,abscissum,Asplenium abscissum
Aspleniaceae,Asplenium,alatum,Asplenium alatum
Aspleniaceae,Asplenium,atlanticum,Asplenium atlanticum
Aspleniaceae,Asplenium,auriculatum,Asplenium auriculatum
Aspleniaceae,Asplenium,auritum,Asplenium auritum
Aspleniaceae,Asplenium,balansae,Asplenium balansae
Aspleniaceae,Asplenium,bradei,Asplenium bradei
Aspleniaceae,Asplenium,brasiliense,Asplenium brasiliense
Aspleniaceae,Asplenium,cirrhatum,Asplenium cirrhatum
Aspleniaceae,Asplenium,claussenii,Asplenium claussenii
Aspleniaceae,Asplenium,cristatum,Asplenium cristatum
Aspleniaceae,Asplenium,flabellulatum,Asplenium flabellulatum
Aspleniaceae,Asplenium,formosum,Asplenium formosum
Aspleniaceae,Asplenium,gastonis,Asplenium gastonis
Aspleniaceae,Asplenium,harpeodes,Asplenium harpeodes
Aspleniaceae,Asplenium,inaequilaterale,Asplenium inaequilaterale
Aspleniaceae,Asplenium,incurvatum,Asplenium incurvatum
Aspleniaceae,Asplenium,kunzeanum,Asplenium kunzeanum
Aspleniaceae,Asplenium,martianum,Asplenium martianum
Aspleniaceae,Asplenium,monanthes,Asplenium monanthes
Aspleniaceae,Asplenium,mucronatum,Asplenium mucronatum
Aspleniaceae,Asplenium,oligophyllum,Asplenium oligophyllum
Aspleniaceae,Asplenium,pseudonitidum,Asplenium pseudonitidum
Aspleniaceae,Asplenium,pulchellum,Asplenium pulchellum
Aspleniaceae,Asplenium,raddianum,Asplenium raddianum
Aspleniaceae,Asplenium,radicans,Asplenium radicans
Aspleniaceae,Asplenium,resiliens,Asplenium resiliens
Aspleniaceae,Asplenium,scandicinum,Asplenium scandicinum
Aspleniaceae,Asplenium,sellowianum,Asplenium sellowianum
Aspleniaceae,Asplenium,serra,Asplenium serra
Aspleniaceae,Asplenium,squamosum,Asplenium squamosum
Aspleniaceae,Asplenium,ulbrichtii,Asplenium ulbrichtii
Aspleniaceae,Asplenium,uniseriale,Asplenium uniseriale
Aspleniaceae,Hymenasplenium,Hayata,Hymenasplenium Hayata
Aspleniaceae,Hymenasplenium,triquetrum,Hymenasplenium triquetrum
Athyriaceae,Alston,,Alston 
Athyriaceae,Athyrium,Roth,Athyrium Roth
Athyriaceae,Athyrium,dombeyi,Athyrium dombeyi
Athyriaceae,Deparia,Hook.,Deparia Hook.
Athyriaceae,Deparia,petersenii,Deparia petersenii
Athyriaceae,Diplazium,Sw.,Diplazium Sw.
Athyriaceae,Diplazium,ambiguum,Diplazium ambiguum
Athyriaceae,Diplazium,asplenioides,Diplazium asplenioides
